Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,pictures,note,AI_ID,FinalID,Genus,species,datetime
Field Observations,Maquipucuna,0.123137,-78.629256,1292.0,,1,6.4,12.0,,,,,Maxillariinae ?,,2026-03-27 11:52:00
Field Observations,Maquipucuna,0.122281,-78.629259,1308.0,,1,3.15,7.1,,range 2.7-3.6m,,,Maxillaria sp.,,2026-03-27 12:04:00
Field Observations,Maquipucuna,0.122072,-78.629323,1310.0,,1,2.1,14.7,98,range 1.2-3.0m,,,Brassea,,2026-03-27 12:08:00
Field Observations,Maquipucuna,0.121695,-78.629609,1321.0,,1,1.4,13.0,101,foto 101,,,,,2026-03-27 12:16:00
Field Observations,Maquipucuna,0.121542,-78.629735,1323.0,,1,2.5,7.7,101,foto 101,,,,,2026-03-27 12:21:00
Field Observations,Maquipucuna,0.121497,-78.629857,1326.0,,1,3.0,6.8,109-113,range 2.5-3.5m,,,Morfoespecie,,2026-03-27 12:26:00
Field Observations,Maquipucuna,0.121497,-78.629857,1326.0,,1,4.05,6.8,114-117,range 3.9-4.2m,,,Morfoespecie,,2026-03-27 12:26:00
Field Observations,Maquipucuna,0.12127,-78.630188,1329.0,,1,3.95,14.0,121,range 3.5-4.4m,,,Maxillariinae,,2026-03-27 12:32:00
Field Observations,Maquipucuna,0.121317,-78.630227,1327.0,,1,2.1,16.0,,,,,Maxillaria sp,,2026-03-27 12:35:00
Field Observations,Maquipucuna,0.121373,-78.630176,1330.0,,1,5.5,16.0,,range 3.1-7.9m,,,Maxillariinae,,2026-03-27 12:37:00
Field Observations,Maquipucuna,0.121243,-78.630373,1331.0,,1,3.2,7.1,127,foto 127,,,,,2026-03-27 12:39:00
Field Observations,Maquipucuna,0.121204,-78.630376,1328.0,,1,4.8,7.1,,,,,,,2026-03-27 12:42:00
Field Observations,Maquipucuna,0.121316,-78.631043,1326.0,,1,3.9,11.1,,,,,,,2026-03-27 12:46:00
Field Observations,Maquipucuna,0.121194,-78.631535,1327.0,,1,3.3,8.3,,range 2.9-3.7m,,,,,2026-03-27 12:53:00
Field Observations,Maquipucuna,0.121182,-78.631641,1329.0,,1,2.0,14.0,139,foto 139,,,,,2026-03-27 12:58:00
Field Observations,Maquipucuna,0.121182,-78.631641,1329.0,,1,1.0,14.0,140,foto 140,,,,,2026-03-27 12:58:00
Field Observations,Maquipucuna,0.120783,-78.63209,1340.0,,1,3.9,18.0,,,,,Maxillaria,,2026-03-27 15:01:00
Field Observations,Maquipucuna,0.12024,-78.632087,1337.0,,1,5.35,17.1,168-169,range 3.9-6.8m,,,Maxillaria sp,,2026-03-27 15:10:00
Field Observations,Maquipucuna,0.12013,-78.632084,1340.0,,1,12.9,17.1,,,,,,,2026-03-27 15:22:00
Field Observations,Maquipucuna,0.12013,-78.632084,1340.0,,1,5.4,17.1,,,,,,,2026-03-27 15:22:00
Field Observations,Maquipucuna,0.12013,-78.632084,1340.0,,2,12.8,17.1,,,,,,,2026-03-27 15:22:00
Field Observations,Maquipucuna,0.120044,-78.632135,1341.0,,1,5.3,14.0,171,foto 171,,,,,2026-03-27 15:25:00
Field Observations,Maquipucuna,0.119914,-78.632165,1340.0,,1,14.5,15.4,17,foto 17,,,,,2026-03-27 15:30:00
Field Observations,Maquipucuna,0.119953,-78.632248,1342.0,,1,7.8,15.4,174-176,foto 174-176,,,,,2026-03-27 15:33:00
Field Observations,Maquipucuna,0.119953,-78.632248,1342.0,,1,7.7,15.4,174-176,foto 174-176,,,,,2026-03-27 15:33:00
Field Observations,Maquipucuna,0.119618,-78.632612,1351.0,,1,5.1,16.8,178,foto 178,,,,,
Field Observations,Maquipucuna,0.119618,-78.632612,1351.0,,1,5.4,16.8,179,foto 179,,,,,
Field Observations,Maquipucuna,0.119618,-78.632612,1351.0,,1,7.9,16.8,177,foto 177,,,,,
Field Observations,Maquipucuna,0.119618,-78.632612,1351.0,,1,2.9,16.8,182,foto 182,,,,,
Field Observations,Maquipucuna,0.119523,-78.632763,1352.0,,1,4.1,11.6,183,foto 183,,,,,2026-03-27 15:50:00
Field Observations,Maquipucuna,0.119339,-78.633345,1357.0,,1,3.1,19.0,185,foto 185,,,,,2026-03-27 16:01:00
Field Observations,Maquipucuna,0.119285,-78.633394,1359.0,,1,2.0,19.0,,,,,,,2026-03-27 16:06:00
