Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,pictures,note,AI_ID,FinalID,Genus,species,datetime
Field Observations,Mashpi,0.165894,-78.878003,926.0,,1.0,5.9,15.0,246,foto 246,,,,,2026-03-28 12:55:00
Field Observations,Mashpi,0.165851,-78.878046,923.0,,1.0,6.3,15.0,,,,,Maxillaria,,2026-03-28 13:01:00
Field Observations,Mashpi,0.165958,-78.877974,922.0,,,,,,,,,,,2026-03-28 13:18:00
Field Observations,Mashpi,0.165748,-78.878092,923.0,,1.0,15.3,22.0,253,foto 253,,,Maxillaria,,
Field Observations,Mashpi,0.165748,-78.878092,923.0,,1.0,15.4,22.0,254,foto 254,,,Maxillaria,,
Field Observations,Mashpi,0.165748,-78.878092,923.0,,1.0,16.3,22.0,255,foto 255,,,Maxillaria,,
Field Observations,Mashpi,0.165748,-78.878092,923.0,,1.0,13.5,22.0,256,foto 256,,,Maxillaria,,
Field Observations,Mashpi,0.166076,-78.877816,927.0,,1.0,6.3,20.5,265,foto 265,,,,,2026-03-28 13:46:00
Field Observations,Mashpi,0.166183,-78.877786,928.0,,1.0,11.9,17.6,274,foto 274,,,,,2026-03-28 14:01:00
Field Observations,Mashpi,0.166178,-78.877737,925.0,,1.0,8.4,16.4,277,foto 277,,,,,2026-03-28 14:08:00
Field Observations,Mashpi,0.166529,-78.877121,950.0,,1.0,9.1,14.6,283-285,foto 283-285,,,Maxillaria,,2026-03-28 14:18:00
Field Observations,Mashpi,0.166384,-78.875797,985.0,,1.0,17.0,,295-297,foto 295-297,,,,,2026-03-28 14:36:00
Field Observations,Mashpi,0.166358,-78.873477,1001.0,,1.0,4.1,19.0,302-308,foto 302-308,,,,,2026-03-28 14:59:00
Field Observations,Mashpi,0.165662,-78.87324,999.0,,1.0,15.9,,311,foto 311,,,,,2026-03-28 15:08:00
Field Observations,Mashpi,0.165772,-78.872923,1004.0,,1.0,14.7,17.8,317,foto 317,,,,,2026-03-28 15:13:00
Field Observations,Mashpi,0.165832,-78.872708,1007.0,,1.0,17.2,,318-322,foto 318-322,,,,,2026-03-28 15:18:00
Field Observations,Mashpi,0.166488,-78.880055,912.0,,1.0,8.8,20.7,352,foto 352,,,,,2026-03-29 08:07:00
Field Observations,Mashpi,0.166537,-78.880079,915.0,,1.0,8.9,10.6,356,foto 356,,,,,2026-03-29 08:10:00
Field Observations,Mashpi,0.166537,-78.880079,915.0,,1.0,8.4,10.6,357,foto 357,,,,,2026-03-29 08:10:00
Field Observations,Mashpi,0.166537,-78.880079,915.0,,1.0,9.5,10.6,358-359,foto 358-359,,,,,2026-03-29 08:10:00
Field Observations,Mashpi,0.166533,-78.880165,913.0,,1.0,8.5,15.2,360-361,foto 360-361,,,,,2026-03-29 08:14:00
Field Observations,Mashpi,0.166566,-78.880359,915.0,,2.0,12.8,19.9,362-368,foto 362-368,,,,,2026-03-29 08:22:00
Field Observations,Mashpi,0.166614,-78.880531,917.0,,1.0,16.2,25.4,369-370,foto 369-370,,,,,2026-03-29 08:26:00
Field Observations,Mashpi,0.166598,-78.880563,915.0,,1.0,11.4,23.6,371-372,foto 371-372,,,,,2026-03-29 08:29:00
Field Observations,Mashpi,0.166617,-78.88068,917.0,,1.0,4.3,27.6,374-375,foto 374-375,,,,,2026-03-29 08:33:00
Field Observations,Mashpi,0.166677,-78.880999,915.0,,1.0,12.2,20.0,379-380,foto 379-380,,,,,2026-03-29 08:42:00
Field Observations,Mashpi,0.166677,-78.880999,915.0,,1.0,14.1,20.0,381,foto 381,,,,,2026-03-29 08:42:00
Field Observations,Mashpi,0.166808,-78.881098,919.0,,1.0,7.6,17.8,389,foto 389,,,,,2026-03-29 08:50:00
Field Observations,Mashpi,0.166808,-78.881098,919.0,,1.0,9.1,17.8,386-388,foto 386-388,,,,,2026-03-29 08:50:00
Field Observations,Mashpi,0.166875,-78.881275,922.0,,1.0,7.1,21.2,390-391,foto 390-391,,,,,2026-03-29 08:58:00
Field Observations,Mashpi,0.166875,-78.881275,922.0,,1.0,6.3,21.2,392,foto 392,,,,,2026-03-29 08:58:00
Field Observations,Mashpi,0.166875,-78.881275,922.0,,1.0,5.0,21.2,393,foto 393,,,,,2026-03-29 08:58:00
Field Observations,Mashpi,0.16683,-78.881349,921.0,,1.0,13.6,21.6,397,foto 397,,,,,2026-03-29 09:05:00
Field Observations,Mashpi,0.166858,-78.881461,921.0,,1.0,7.4,16.1,400,foto 400,,,,,2026-03-29 09:10:00
