Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,pictures,note,AI_ID,FinalID,Genus,species,datetime
Field Observations,MindoTarabita,-0.079564,-78.760783,,,1.0,2.4,21.0,,pleurothallis at 2.4 m height.,,,pleurothallis,,2026-03-06 09:57:00
Field Observations,MindoTarabita,-0.081402,-78.762263,,,1.0,7.3,30.0,,,,,sudamerlycaste,,2026-03-06 12:01:00
Field Observations,MindoTarabita,-0.081402,-78.762263,,,1.0,4.2,30.0,,,,,sudamerlycaste,,2026-03-06 12:01:00
Field Observations,MindoTarabita,-0.081411,-78.762237,,,1.0,3.0,,,"sudamerlycaste w flower at 3 m high, 4 individuals",,,sudamerlycaste,,2026-03-06 12:06:00
Field Observations,MindoTarabita,-0.081968,-78.762166,,,1.0,11.0,,,"sudamerlycaste sp2 (yellow bigger), flowering. 1 flowering individuals at 11m and 3 individuals (1 flowering) at 13m. tree w 25 m height. At a cecropia nearby (20 m) us a maxillaria similar to epidendrum at 13 m.",,,sudamerlycaste sp2,,2026-03-06 12:27:00
Field Observations,MindoTarabita,-0.081968,-78.762166,,,1.0,13.0,,,"sudamerlycaste sp2 (yellow bigger), flowering. 1 flowering individuals at 11m and 3 individuals (1 flowering) at 13m. tree w 25 m height. At a cecropia nearby (20 m) us a maxillaria similar to epidendrum at 13 m.",,,sudamerlycaste sp2,,2026-03-06 12:27:00
Field Observations,MindoTarabita,-0.081968,-78.762166,,,1.0,13.0,,,"sudamerlycaste sp2 (yellow bigger), flowering. 1 flowering individuals at 11m and 3 individuals (1 flowering) at 13m. tree w 25 m height. At a cecropia nearby (20 m) us a maxillaria similar to epidendrum at 13 m.",,,sudamerlycaste sp2,,2026-03-06 12:27:00
Field Observations,MindoTarabita,-0.082197,-78.762286,,,1.0,5.0,,,,,,maxillaria,,2026-03-06 12:47:00
Field Observations,MindoTarabita,-0.082197,-78.762286,,,1.0,10.0,,,,,,maxillaria,,2026-03-06 12:47:00
Field Observations,MindoTarabita,-0.082197,-78.762286,,,1.0,23.0,,,,,,maxillaria,,2026-03-06 12:47:00
Field Observations,MindoTarabita,-0.082243,-78.762291,,,1.0,4.0,,,,,,maxillaria sp2,,
Field Observations,MindoTarabita,-0.082243,-78.762291,,,1.0,6.5,,,,,,maxillaria sp2,,
Field Observations,MindoTarabita,-0.082647,-78.76223,,,1.0,9.7,,,,,,xylobium,,2026-03-06 13:03:00
Field Observations,MindoTarabita,-0.082647,-78.76223,,,1.0,20.0,,,,,,xylobium,,2026-03-06 13:03:00
Field Observations,MindoTarabita,-0.083903,-78.762553,,,1.0,3.0,,,sudamerlycaste seedling at 3 m hight. canopy aro7nd 15 m. and the maxillaria sp 1 similar to epidendrum at another tree next to it at around 6 m height.,,,sudamerlycaste,,2026-03-06 13:29:00
Field Observations,MindoTarabita,-0.084022,-78.762474,,,1.0,3.8,,,3 xylobium at 3.8 m to 5.7 m high on a treefern of 8.1 high. canopy of higher tree 30 plus.,,,xylobium,,2026-03-06 13:33:00
Field Observations,MindoTarabita,-0.084737,-78.76241,,,1.0,2.0,,,,,,sudamerlycaste,,2026-03-06 13:44:00
Field Observations,MindoTarabita,-0.084737,-78.76241,,,1.0,12.0,,,,,,sudamerlycaste,,2026-03-06 13:44:00
Field Observations,MindoTarabita,-0.084737,-78.76241,,,1.0,6.0,,,,,,sudamerlycaste,,2026-03-06 13:44:00
Field Observations,MindoTarabita,-0.085407,-78.762198,,,1.0,4.5,,,"sudamerlycaste sp2 at 4.5 m, and at a tree next to it a xylobium at 6 m and the maxllaria camaridium sp2 at 5 m",,,sudamerlycaste sp2,,2026-03-06 13:53:00
Field Observations,MindoTarabita,-0.085407,-78.762198,,,1.0,6.0,,,"sudamerlycaste sp2 at 4.5 m, and at a tree next to it a xylobium at 6 m and the maxllaria camaridium sp2 at 5 m",,,sudamerlycaste sp2,,2026-03-06 13:53:00
Field Observations,MindoTarabita,-0.085407,-78.762198,,,1.0,5.0,,,"sudamerlycaste sp2 at 4.5 m, and at a tree next to it a xylobium at 6 m and the maxllaria camaridium sp2 at 5 m",,,sudamerlycaste sp2,,2026-03-06 13:53:00
Field Observations,MindoTarabita,-0.085842,-78.761954,,,,,,,,,,maxillaria,,2026-03-06 14:01:00
Field Observations,MindoTarabita,-0.085922,-78.76185,,,1.0,3.9,,,,,,maxillaria,,2026-03-06 14:04:00
Field Observations,MindoTarabita,-0.085922,-78.76185,,,1.0,4.6,,,,,,maxillaria,,2026-03-06 14:04:00
