Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,pictures,note,AI_ID,FinalID,Genus,species,datetime
Field Observations,Yanayacu,-0.5970698,-77.894573,,,1.0,3.0,,,,,,Ida,,2026-02-18 16:12:00
Field Observations,Yanayacu,-0.5955688,-77.894056,,,,,,,,,,Ida,,2026-02-18 16:27:00
Field Observations,Yanayacu,-0.5958342,-77.894057,,,1.0,2.0,,,,,,Ida,,2026-02-19 10:07:00
Field Observations,Yanayacu,-0.5958342,-77.894057,,,1.0,30.0,,,,,,Ida,,2026-02-19 10:07:00
Field Observations,Yanayacu,-0.5958342,-77.894057,,,1.0,15.0,,,,,,Ida,,2026-02-19 10:07:00
Field Observations,Yanayacu,-0.5958342,-77.894057,,,1.0,2.0,,,,,,Ida,,2026-02-19 10:07:00
Field Observations,Yanayacu,-0.5958342,-77.894057,,,1.0,3.0,,,,,,Ida,,2026-02-19 10:07:00
Field Observations,Yanayacu,-0.5919292,-77.890811,,,1.0,1.0,,,,,,"Ida,",,2026-02-19 11:24:00
Field Observations,Yanayacu,-0.5919292,-77.890811,,,1.0,2.0,,,,,,"Ida,",,2026-02-19 11:24:00
Field Observations,Yanayacu,-0.5919292,-77.890811,,,1.0,6.0,,,,,,"Ida,",,2026-02-19 11:24:00
Field Observations,Yanayacu,-0.5919292,-77.890811,,,1.0,22.0,,,,,,"Ida,",,2026-02-19 11:24:00
Field Observations,Yanayacu,-0.5990691,-77.891671,,,,,,,,,,,,2026-02-19 17:57:00
Field Observations,Yanayacu,-0.5986211,-77.894486,,,1.0,5.0,,,,,,Ida,,2026-02-19 21:10:00
