Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,pictures,note,Genus,species,Final_ID,datetime
Field Observations,Maquipucuna,0.123137,-78.629256,1292,NA,1,6.4,12,NA,NA,Brassia,sp.,Brassia sp.,2026-03-27T11:52:00Z
Field Observations,Maquipucuna,0.122281,-78.629259,1308,NA,1,3.15,7.1,NA,range 2.7-3.6m,Polystachya,concreta,Polystachya concreta,2026-03-27T12:04:00Z
Field Observations,Maquipucuna,0.122072,-78.629323,1310,NA,1,2.1,14.7,98,range 1.2-3.0m,Polystachya,concreta,Polystachya concreta,2026-03-27T12:08:00Z
Field Observations,Maquipucuna,0.121695,-78.629609,1321,NA,1,1.4,13,101,foto 101,Brassia,arcuigera,Brassia arcuigera,2026-03-27T12:16:00Z
Field Observations,Maquipucuna,0.121542,-78.629735,1323,NA,1,2.5,7.7,101,foto 101,Trichopilia,sp.,Trichopilia sp.,2026-03-27T12:21:00Z
Field Observations,Maquipucuna,0.121497,-78.629857,1326,NA,1,3,6.8,109-113,range 2.5-3.5m,Brassia,sp.,Brassia sp.,2026-03-27T12:26:00Z
Field Observations,Maquipucuna,0.121497,-78.629857,1326,NA,1,4.05,6.8,114-117,range 3.9-4.2m,Maxillaria,sp1,Maxillaria sp1,2026-03-27T12:26:00Z
Field Observations,Maquipucuna,0.12127,-78.630188,1329,NA,1,3.95,14,121,range 3.5-4.4m,Brassia,sp.,Brassia sp.,2026-03-27T12:32:00Z
Field Observations,Maquipucuna,0.121317,-78.630227,1327,NA,1,2.1,16,NA,NA,Maxillaria,sp1,Maxillaria sp1,2026-03-27T12:35:00Z
Field Observations,Maquipucuna,0.121373,-78.630176,1330,NA,1,5.5,16,NA,range 3.1-7.9m,Maxillaria,sp1,Maxillaria sp1,2026-03-27T12:37:00Z
Field Observations,Maquipucuna,0.121243,-78.630373,1331,NA,1,3.2,7.1,127,foto 127,Brassia,sp.,Brassia sp.,2026-03-27T12:39:00Z
Field Observations,Maquipucuna,0.121204,-78.630376,1328,NA,1,4.8,7.1,NA,NA,Brassia,sp.,Brassia sp.,2026-03-27T12:42:00Z
Field Observations,Maquipucuna,0.121316,-78.631043,1326,NA,1,3.9,11.1,NA,NA,Brassia,sp.,Brassia sp.,2026-03-27T12:46:00Z
Field Observations,Maquipucuna,0.121194,-78.631535,1327,NA,1,3.3,8.3,NA,range 2.9-3.7m,Oncidiinae,sp.,Oncidiinae sp.,2026-03-27T12:53:00Z
Field Observations,Maquipucuna,0.121182,-78.631641,1329,NA,1,2,14,139,foto 139,Trichopilia,sp.,Trichopilia sp.,2026-03-27T12:58:00Z
Field Observations,Maquipucuna,0.121182,-78.631641,1329,NA,1,1,14,140,foto 140,Epidendrum ,sp.,Epidendrum  sp.,2026-03-27T12:58:00Z
Field Observations,Maquipucuna,0.120783,-78.63209,1340,NA,1,3.9,18,NA,NA,Epidendrum ,sp.,Epidendrum  sp.,2026-03-27T15:01:00Z
Field Observations,Maquipucuna,0.12024,-78.632087,1337,NA,1,5.35,17.1,168-169,range 3.9-6.8m,Epidendrum,macroophorum,Epidendrum macroophorum,2026-03-27T15:10:00Z
Field Observations,Maquipucuna,0.12013,-78.632084,1340,NA,1,12.9,17.1,NA,NA,Epidendrum ,sp.,Epidendrum  sp.,2026-03-27T15:22:00Z
Field Observations,Maquipucuna,0.12013,-78.632084,1340,NA,1,5.4,17.1,NA,NA,Epidendrum ,sp.,Epidendrum  sp.,2026-03-27T15:22:00Z
Field Observations,Maquipucuna,0.12013,-78.632084,1340,NA,2,12.8,17.1,NA,NA,Scelochilus,sp.,Scelochilus sp.,2026-03-27T15:22:00Z
Field Observations,Maquipucuna,0.120044,-78.632135,1341,NA,1,5.3,14,171,foto 171,Maxillaria,sp. B,Maxillaria sp. B,2026-03-27T15:25:00Z
Field Observations,Maquipucuna,0.119914,-78.632165,1340,NA,1,14.5,15.4,17,foto 17,Trichopilia,sp.,Trichopilia sp.,2026-03-27T15:30:00Z
