Source,Area_or_Site,lat,lon,Elevation_m,FieldID,Abundance,Height_m,CanopyHeight_m,note,Genus,species,FinalID,datetime
Field Observations,Maquipucuna,0.121497,-78.629857,1326,NA,1,4.05,6.8,range 3.9-4.2m,Maxillaria,sp1,Maxillaria sp1,2026-03-27T12:26:00Z
Field Observations,Maquipucuna,0.121317,-78.630227,1327,NA,1,2.1,16,NA,Maxillaria,sp1,Maxillaria sp1,2026-03-27T12:35:00Z
Field Observations,Maquipucuna,0.121373,-78.630176,1330,NA,1,5.5,16,range 3.1-7.9m,Maxillaria,sp1,Maxillaria sp1,2026-03-27T12:37:00Z
Field Observations,Maquipucuna,0.120044,-78.632135,1341,NA,1,5.3,14,foto 171,Maxillaria,sp. B,Maxillaria sp. B,2026-03-27T15:25:00Z
Field Observations,Maquipucuna,0.119618,-78.632612,1351,NA,1,5.1,16.8,foto 178,Maxillaria,acutifolia,Maxillaria acutifolia,2026-03-27T15:33:00Z
Field Observations,Maquipucuna,0.119618,-78.632612,1351,NA,1,5.4,16.8,foto 179,Maxillaria,acutifolia,Maxillaria acutifolia,2026-03-27T15:33:00Z
Field Observations,Maquipucuna,0.119618,-78.632612,1351,NA,1,2.9,16.8,foto 182,Maxillaria,sp. B,Maxillaria sp. B,2026-03-27T15:33:00Z
Field Observations,MiradorMindo,0.008934,-78.824791,1289,NA,1,6.5,NA,NA,Maxillaria,acutifolia,Maxillaria acutifolia,2026-03-24T16:24:00Z
Field Observations,MiradorMindo,0.009929,-78.824688,1337,NA,1,2.8,NA,NA,Maxillaria,ecuadorensis,Maxillaria ecuadorensis,2026-03-24T16:43:00Z
Field Observations,Mashpi,0.165851,-78.878046,923,NA,1,6.3,15,NA,Maxillaria,sp.,Maxillaria sp.,2026-03-28T13:01:00Z
Field Observations,Mashpi,0.165748,-78.878092,923,NA,1,15.3,22,foto 253,Maxillaria,sp.,Maxillaria sp.,2026-03-28T13:18:00Z
Field Observations,Mashpi,0.165748,-78.878092,923,NA,1,15.4,22,foto 254,Maxillaria,sp.,Maxillaria sp.,2026-03-28T13:18:00Z
Field Observations,Mashpi,0.166529,-78.877121,950,NA,1,9.1,14.6,foto 283-285,Maxillaria,sp. A,Maxillaria sp. A,2026-03-28T14:18:00Z
Field Observations,Mashpi,0.166384,-78.875797,985,NA,1,17,NA,foto 295-297,Maxillaria,sp. C,Maxillaria sp. C,2026-03-28T14:36:00Z
Field Observations,Mashpi,0.165662,-78.87324,999,NA,1,15.9,NA,foto 311,Maxillaria,sp. D,Maxillaria sp. D,2026-03-28T15:08:00Z
Field Observations,Mashpi,0.166488,-78.880055,912,NA,1,8.8,20.7,foto 352,Maxillaria,bradei,Maxillaria bradei,2026-03-29T08:07:00Z
Field Observations,Mashpi,0.166537,-78.880079,915,NA,1,8.9,10.6,foto 356,Maxillaria,sp. B,Maxillaria sp. B,2026-03-29T08:10:00Z
Field Observations,Mashpi,0.166537,-78.880079,915,NA,1,8.4,10.6,foto 357,Maxillaria,sp. C,Maxillaria sp. C,2026-03-29T08:10:00Z
Field Observations,Mashpi,0.166537,-78.880079,915,NA,1,9.5,10.6,foto 358-359,Maxillaria,sp.,Maxillaria sp.,2026-03-29T08:10:00Z
Field Observations,Mashpi,0.166533,-78.880165,913,NA,1,8.5,15.2,foto 360-361,Maxillaria,sp. B,Maxillaria sp. B,2026-03-29T08:14:00Z
Field Observations,Mashpi,0.166566,-78.880359,915,NA,2,12.8,19.9,foto 362-368,Maxillaria, bradei,Maxillaria  bradei,2026-03-29T08:22:00Z
Field Observations,Mashpi,0.166677,-78.880999,915,NA,1,14.1,20,foto 381,Maxillaria,sp.,Maxillaria sp.,2026-03-29T08:42:00Z
Field Observations,Mashpi,0.166808,-78.881098,919,NA,1,7.6,17.8,foto 389,Maxillaria,sp. B,Maxillaria sp. B,2026-03-29T08:50:00Z
Field Observations,Mashpi,0.166808,-78.881098,919,NA,1,9.1,17.8,foto 386-388,Maxillaria,sp. A,Maxillaria sp. A,2026-03-29T08:50:00Z
Field Observations,Mashpi,0.166875,-78.881275,922,NA,1,7.1,21.2,foto 390-391,Maxillaria,sp. A,Maxillaria sp. A,2026-03-29T08:58:00Z
Field Observations,Mashpi,0.166875,-78.881275,922,NA,1,5,21.2,foto 393,Maxillaria, bradei,Maxillaria  bradei,2026-03-29T08:58:00Z
Field Observations,Mashpi,0.16683,-78.881349,921,NA,1,13.6,21.6,foto 397,Maxillaria,sp. A,Maxillaria sp. A,2026-03-29T09:05:00Z
Field Observations,Mashpi,0.166858,-78.881461,921,NA,1,7.4,16.1,foto 400,Maxillaria,sp. C,Maxillaria sp. C,2026-03-29T09:10:00Z
Field Observations,MindoTarabita,-0.079583605,-78.760773,NA,NA,1,2.4,21,"Real for Pleurothallis at 2.4m h,",Maxillaria,sp.,Maxillaria sp.,2026-03-06T09:59:00Z
Field Observations,MindoTarabita,-0.080206124,-78.761561,NA,NA,1,6.2,35,Sudamelycaste maybe fimbriata  at 6.2m one big individual with flower and fruit At 7.4m young smaller At 6.2 small At 7.8 super small  Maxillaria sp.1  Between 18 and 26m covering all branches,Maxillaria,sp.,Maxillaria sp.,2026-03-06T10:17:00Z
Field Observations,MindoTarabita,-0.080206124,-78.761561,NA,NA,1,7.4,35,Sudamelycaste maybe fimbriata  at 6.2m one big individual with flower and fruit At 7.4m young smaller At 6.2 small At 7.8 super small  Maxillaria sp.1  Between 18 and 26m covering all branches,Maxillaria,sp.,Maxillaria sp.,2026-03-06T10:17:00Z
Field Observations,MindoTarabita,-0.080372114,-78.761578,NA,NA,1,3.1,NA,Xylobium sp.1 At 3.1 m big individual At 5.5m smaller individual At 2m smaller individual,Maxillaria,sp.,Maxillaria sp.,2026-03-06T10:38:00Z
Field Observations,MindoTarabita,-0.080372114,-78.761578,NA,NA,1,5.5,NA,Xylobium sp.1 At 3.1 m big individual At 5.5m smaller individual At 2m smaller individual,Maxillaria, bradei,Maxillaria  bradei,2026-03-06T10:38:00Z
Field Observations,MindoTarabita,-0.080420531,-78.761599,NA,NA,1,6,18,Sudamelycaste sp.1 At 6m  Maybe the same one At 7.5m,Sudamelycaste,sp1,Sudamelycaste sp1,2026-03-06T10:46:00Z
Field Observations,MindoTarabita,-0.080420531,-78.761599,NA,NA,1,7.5,18,Sudamelycaste sp.1 At 6m  Maybe the same one At 7.5m,Sudamelycaste,sp1,Sudamelycaste sp1,2026-03-06T10:46:00Z
Field Observations,MindoTarabita,-0.080693401,-78.762004,NA,NA,1,4.7,8.7,Juvenile Sudamelycaste sp..  At 4.7m height,Sudamelycaste,sp.,Sudamelycaste sp.,2026-03-06T11:11:00Z
Field Observations,MindoTarabita,-0.0807594,-78.762378,NA,NA,1,5.7,NA,NA,Maxillaria,sp.,Maxillaria sp.,2026-03-06T11:31:00Z
Field Observations,MindoTarabita,-0.082197,-78.762286,NA,NA,1,5,NA,NA,Maxillaria,sp.,Maxillaria sp.,2026-03-06T12:47:00Z
Field Observations,MindoTarabita,-0.082197,-78.762286,NA,NA,1,10,NA,NA,Maxillaria,sp.,Maxillaria sp.,2026-03-06T12:47:00Z
Field Observations,MindoTarabita,-0.082197,-78.762286,NA,NA,1,23,NA,NA,Maxillaria,sp.,Maxillaria sp.,2026-03-06T12:47:00Z
Field Observations,MindoTarabita,-0.082243,-78.762291,NA,NA,1,4,NA,NA,Maxillaria,sp2,Maxillaria sp2,2026-03-06T12:47:00Z
Field Observations,MindoTarabita,-0.082243,-78.762291,NA,NA,1,6.5,NA,NA,Maxillaria,sp2,Maxillaria sp2,2026-03-06T12:47:00Z
