id,g__coordinates,g__type,description,marker_color,name,stroke
IA72kjtztJOMmwW4,"[-78.629256, 0.123137]",Point,1292m Maxillariinae ?  6.4m  Canopy 12m Foto 96,red,"27 de marzo de 2026, 11:52",
kTh2423PMWkQPsDW,"[-78.629259, 0.122281]",Point,1308m Maxillaria sp. 2.7m - 3.6m Canopy 7.1m,red,"27 de marzo de 2026, 12:04",
rEtA52bpIZw5GBge,"[-78.629323, 0.122072]",Point,1310m  Canopy 14.7m Brassea foto 98 1.2m a 3m,red,"27 de marzo de 2026, 12:08",
ZQgDJbpvAC2Em0iZ,"[-78.629609, 0.121695]",Point,1321m Foto 101 1.4m Canopy 13m,red,"27 de marzo de 2026, 12:16",
DlXwNuh83QSmLMGh,"[-78.629735, 0.121542]",Point,1323m Misma que foto 101 2.5m Canopy 7.7m,red,"27 de marzo de 2026, 12:21",
gFdMP1VMPzbTRBsX,"[-78.629857, 0.121497]",Point,1326m  Morfoespecie 1 fotos 109-113 2.5-3.5m Morfoespecie 2 fotos 114-117 3.9-4.2m Canopy 6.8m,red,"27 de marzo de 2026, 12:26",
nafJigGnpD3zChiN,"[-78.630188, 0.12127]",Point,1329m Fotos 121 Maxillariinae 3.5m - 4.4m Canopy 14m,red,"27 de marzo de 2026, 12:32",
dpDF5bwVh0ozDdmD,"[-78.630227, 0.121317]",Point,1327m Foto 123 Maxillaria sp  2.1m Canopy 16m,red,"27 de marzo de 2026, 12:35",
Ntf6aFMSpisEF6Ad,"[-78.630176, 0.121373]",Point,1330m 3.1-7.9m Canopy 16m Maxillariinae fotos 124-126,red,"27 de marzo de 2026, 12:37",
oqXG8RONw8ZaDIGq,"[-78.630373, 0.121243]",Point,1331m El mismo que en todo lado foto 127 3.2m Canopy 7.1m,red,"27 de marzo de 2026, 12:39",
yzbfFRBlEZNeUo2C,"[-78.630376, 0.121204]",Point,1328m Foto 128 la misma 4.8m  Canopy 7.1m,red,"27 de marzo de 2026, 12:42",
hgRSRIPE8xfWdmmj,"[-78.631043, 0.121316]",Point,1326m 3.9m  Foto 132 Canopy 11.1m,red,"27 de marzo de 2026, 12:46",
dEKvT8c5RB43yA6U,"[-78.631535, 0.121194]",Point,1327m 133-135 fotos 2.9-3.7m Canopy 8.3m,red,"27 de marzo de 2026, 12:53",
z1dljta0YpuJcl0l,"[-78.631641, 0.121182]",Point,1329m Foto 139 a 2m  Foto 140 a 1m Canopy 14m,red,"27 de marzo de 2026, 12:58",
uZacUe4QK9UNom95,"[-78.629384, 0.12228]",Point,,red,"27 de marzo de 2026, 13:02",
luUCrMQMNFPp5PJA,"[-78.63209, 0.120783]",Point,1340m 152-156 Maxillaria 3.9m Canopy 18m,red,"27 de marzo de 2026, 15:01",
nsC4pbmnquJkE4OH,"[-78.632087, 0.12024]",Point,1337m Maxillaria sp fotos 168-169 3.9-6.8m Canopy 17.1m,red,"27 de marzo de 2026, 15:10",
LPEwtTEZlK2yKGvj,"[-78.632084, 0.12013]",Point,1340m Foto 170 Ind 12.9m Ind 5.4m x2 Ind 12.8m  Canopy 17.1m,red,"27 de marzo de 2026, 15:22",
hJTNkGwiNcX9AcbQ,"[-78.632135, 0.120044]",Point,1341m Foto 171 a 5.3m Canopy 14m,red,"27 de marzo de 2026, 15:25",
QRV0YL095dk5Iu51,"[-78.632165, 0.119914]",Point,1340m 14.5m foto 17 Canopy 15.4m,red,"27 de marzo de 2026, 15:30",
4r8FNl9GzQghWEy1,"[-78.632248, 0.119953]",Point,1342m Foto 174-176 7.8m 7.7m  Canopy 15.4m,red,"27 de marzo de 2026, 15:33",
b1XK5DVnuxmGa8EF,"[-78.632612, 0.119618]",Point,1351m Ind 5.1m foto 178 Ind 5.4m foto 179 Ind 7.9m foto 177 Ind 2.9m foto 182  Canopy 16.8m,red,Sendero Principal,
3wrgwHPAcSKsEKir,"[-78.632763, 0.119523]",Point,1352m Ind 4.1m foto 183 Canopy 11.6m,red,"27 de marzo de 2026, 15:50",
hRLbjM4tqjeWgRF3,"[-78.633345, 0.119339]",Point,1357m Ind 3.1m foto 185 Canopy 19m,red,"27 de marzo de 2026, 16:01",
UdB7tLmvXSqK7gK3,"[-78.633394, 0.119285]",Point,1359m Foto 190-191 Ind 2m Canopy 19m,red,"27 de marzo de 2026, 16:06",
fzBSiYeCv5IIJ8Gr,"[-78.632172, 0.120215]",Point,,red,"27 de marzo de 2026, 16:07",
