id,g__coordinates,g__type,description,marker_color,name,stroke
43FRl6V2jgZQvyNE,"[-78.878003, 0.165894]",Point,926m  Ind 5.9m foto 246 Canopy 15m,red,"28 de marzo de 2026, 12:55",
09iwofYyFJht0u4F,"[-78.878046, 0.165851]",Point,923m Maxillaria foto 249 ind 6.3m Canopy 15m,red,"28 de marzo de 2026, 13:01",
20P5hShtwplvkize,"[-78.877974, 0.165958]",Point,922m,red,"28 de marzo de 2026, 13:18",
QvNRkFEWqIZW40RN,"[-78.878092, 0.165748]",Point,923m Ind 15.3m foto 253 Ind Maxillaria 15.4m foto 254 Ind Maxillaria 16.3m foto 255 Ind 13.5m foto 256 misma que foto 249 Canopy 22m,red,Camino de caballos,
q24Y0FKTGlm8YASS,"[-78.877816, 0.166076]",Point,927m Foto 265 a 6.3m Canopy 20.5m,red,"28 de marzo de 2026, 13:46",
Dk170JzeEJShkw49,"[-78.877786, 0.166183]",Point,928m Foto 274 a 11.9m  Canopy 17.6m,red,"28 de marzo de 2026, 14:01",
kzqsHmMyF68CWDCR,"[-78.877737, 0.166178]",Point,925m Foto 277 a 8.4m Canopy 16.4m,red,"28 de marzo de 2026, 14:08",
SKPgYObSzQao4GVY,"[-78.877121, 0.166529]",Point,950m Maxillaria foto 283-285 a 9.1m Canopy 14.6m,red,"28 de marzo de 2026, 14:18",
2oKuw5i5WpKm4oyg,"[-78.875797, 0.166384]",Point,985m Foto 295-297 a 17m,red,"28 de marzo de 2026, 14:36",
PmfRh1uVDMFwZjiV,"[-78.873477, 0.166358]",Point,1001m Fotos 302-308 a 4.1m Canopy 19m,red,"28 de marzo de 2026, 14:59",
t672WPX2R8QfMqIb,"[-78.87324, 0.165662]",Point,999m Foto 311 a 15.9m Canopy,red,"28 de marzo de 2026, 15:08",
foxCQW5QaDYLthjs,"[-78.872923, 0.165772]",Point,1004m Foto 317 a 14.7m Canopy 17.8m,red,"28 de marzo de 2026, 15:13",
6d44m7ImbA0OI4y1,"[-78.872708, 0.165832]",Point,1007m Foto 318-322 a 17.2m,red,"28 de marzo de 2026, 15:18",
I0PDAwWDYHEE3fjN,"[-78.875032, 0.166132]",Point,,red,"28 de marzo de 2026, 15:29",
1vaGS8ftjlZGSkES,"[-78.880055, 0.166488]",Point,912m Foto 352 a 8.8m Canopy 20.7m,red,"29 de marzo de 2026, 8:07",
cYBUP9z4N0iF6Buj,"[-78.880079, 0.166537]",Point,915m Foto 356 a 8.9m Foto 357 a 8.4m  Foto 358-359 a 9.5m Canopy 10.6m,red,"29 de marzo de 2026, 8:10",
OXTgBA836oJM7Hfk,"[-78.880165, 0.166533]",Point,913m Foto 360-361 a 8.5m Canopy 15.2m,red,"29 de marzo de 2026, 8:14",
Ehs0Nuf9F2iPXwEj,"[-78.880359, 0.166566]",Point,915m Foto 362-368 (2 ind) a 12.8m  Canopy 19.9m,red,"29 de marzo de 2026, 8:22",
hC4LfZMIWUfmKxrX,"[-78.880531, 0.166614]",Point,917m 2 ind foto 369-370 a 16.2m Canopy 25.4m,red,"29 de marzo de 2026, 8:26",
Dbxpij8NQ4Meymuc,"[-78.880563, 0.166598]",Point,915m Foto 371-372 a 11.4m Canopy 23.6m,red,"29 de marzo de 2026, 8:29",
X3u6OMms5RuINrrc,"[-78.88068, 0.166617]",Point,917m Foto 374-375 a 4.3m Canopy 27.6m,red,"29 de marzo de 2026, 8:33",
sSx53mWsMUrDzZsI,"[-78.880999, 0.166677]",Point,915m Foto 379-380 a 12.2m Foto 381 a 14.1m  Canopy 20m,red,"29 de marzo de 2026, 8:42",
hfpzdv306KTl6fQw,"[-78.881098, 0.166808]",Point,919m Foto 389 a 7.6m Foto 386-388 a 9.1m Canopy 17.8m,red,"29 de marzo de 2026, 8:50",
RojKWImICIZ1DOVs,"[-78.881275, 0.166875]",Point,922m Foto 390-391 a 7.1m Foto 392 a 6.3m Foto 393 a 5m  Canopy 21.2m,red,"29 de marzo de 2026, 8:58",
ul9XQW9T9BWxNKpd,"[-78.881349, 0.16683]",Point,921m Foto 397 a 13.6m Canopy 21.6m,red,"29 de marzo de 2026, 9:05",
DTMeBlyKMG3qjTJS,"[-78.881461, 0.166858]",Point,921m Foto 400 a 7.4m Canopy 16.1m,red,"29 de marzo de 2026, 9:10",
5kHFhclDb9m91Qq1,"[-78.880523, 0.166555]",Point,,red,"29 de marzo de 2026, 9:11",
