id,g__coordinates,g__type,description,marker_color,name
eo2d6yzDgFGE9bcq,"[-78.760783, -0.079564]",Point,pleurothallis at 2.4 m height. canopy 21m,red,6 March 2026 at 09:57
FK2u7oi98uHkhG2q,"[-78.762263, -0.081402]",Point,"sudamerlycaste 7.3 m, flowering, multiple individuals; xylobium 4.2 m; canopy 30 m+",red,6 March 2026 at 12:01
pSXiXBysyybPPOdX,"[-78.762237, -0.081411]",Point,"sudamerlycaste w flower at 3 m high, 4 individuals",red,6 March 2026 at 12:06
I05eiyLFDJl6bRx8,"[-78.762166, -0.081968]",Point,"sudamerlycaste sp2 (yellow bigger), flowering. 1 flowering individuals at 11m and 3 individuals (1 flowering) at 13m. tree w 25 m height. At a cecropia nearby (20 m) us a maxillaria similar to epidendrum at 13 m.",red,6 March 2026 at 12:27
wxf88wVR3w8HQPkL,"[-78.762286, -0.082197]",Point,"maxillaria similar to epidendrum ca. 5 m high, akso at xa. 10 m high, tree ca. 23 m high",red,6 March 2026 at 12:47
J2AQ2S9hBg0eAhY3,"[-78.762291, -0.082243]",Point,"maxillaria sp2 (camaridium), leaves shorter, wider and purplish than the other. induviduals at 2, 3 and 4 m high. tree of 6.5 m.",red,Map Point
0qYUKK6SYbEbSaT5,"[-78.76223, -0.082647]",Point,"xylobium from 3.6 to 9.7 m, tree around 20 m high",red,6 March 2026 at 13:03
dWCHLOB5gxfvqEEP,"[-78.762553, -0.083903]",Point,sudamerlycaste seedling at 3 m hight. canopy aro7nd 15 m. and the maxillaria sp 1 similar to epidendrum at another tree next to it at around 6 m height.,red,6 March 2026 at 13:29
l2076vTrylhiMinE,"[-78.762474, -0.084022]",Point,3 xylobium at 3.8 m to 5.7 m high on a treefern of 8.1 high. canopy of higher tree 30 plus.,red,6 March 2026 at 13:33
9spIHZqYQCQfUUyx,"[-78.76241, -0.084737]",Point,"sudamerlycaste sp1, adult, 2 m high, canopy around 12 m. also maxillaria cf porrecta (reddish flower) at around 6 m.",red,6 March 2026 at 13:44
bC2ezxKG7rTX5vco,"[-78.762198, -0.085407]",Point,"sudamerlycaste sp2 at 4.5 m, and at a tree next to it a xylobium at 6 m and the maxllaria camaridium sp2 at 5 m",red,6 March 2026 at 13:53
04ukedcFWuolwv0p,"[-78.761954, -0.085842]",Point,"maxillaria sensu strictu, smaller than porrecta at 2.3 height.",red,6 March 2026 at 14:01
BdvZFrcgBNp3eYrx,"[-78.76185, -0.085922]",Point,maxillaria w long rizome from 3.9 m to 4.6 m,red,6 March 2026 at 14:04
mRsiBFgMEvC4Jr19,"[-78.760639, -0.088356]",Point,,red,Map Point
