id,g__coordinates,g__type,description,marker_color,name
ixEZKBGqH0o5cRQp,"[-77.890308, -0.5993176]",Point,,red,18 February 2026 at 14:15
uG1uZ5ZRi902Q9zY,"[-77.894573, -0.5970698]",Point,"Ida epiphytic, one at hip height, other at ca. 3 m",red,18 February 2026 at 16:12
q3ntU3VNCOwFtO80,"[-77.894056, -0.5955688]",Point,"Ida at shoulder height, new adult",red,18 February 2026 at 16:27
S5Sw3hdIdtMpY3mB,"[-77.894057, -0.5958342]",Point,"Ida (maybe Xylobium?), 1x 2 m hich und 1x 3,30 m Hoch; Mormolyca sp 1x 1,15 m, 2x 2m, 1x 3m",red,19 February 2026 at 10:07
lnB9ejolkzHzDpq8,"[-77.891472, -0.5946389]",Point,,red,19 February 2026 at 10:51
93NaHYd0AlhTLLp3,"[-77.890811, -0.5919292]",Point,"Ida, 1x 1m, 1x juvenile 2m, 1 big at6,6 m, canopy camera. 22 m",red,19 February 2026 at 11:24
kuZSGzGsXPKSABhv,"[-77.891671, -0.5990691]",Point,really good spot for flying drone on many trees,red,19 February 2026 at 17:57
K1rwp3a0SidV9Urv,"[-77.894486, -0.5986211]",Point,"Ida from 1,5 - 4,5 m",red,19 February 2026 at 21:10
fC9Zsmo0betXHcVc,"[-77.894766, -0.5986026]",Point,,red,19 February 2026 at 21:13
pCyu5KZdelSCp2rs,"[-77.840064, -0.6323122]",Point,,red,21 February 2026 at 10:08
